"x","y"
"-1.0","3.141592653589793"
"-0.99","3.000053180265366"
"-0.98","2.9412578112666736"
"-0.97","2.896027136074501"
"-0.96","2.857798544381465"
"-0.95","2.824032224298272"
"-0.94","2.793426632316832"
"-0.93","2.765209171272065"
"-0.92","2.738876812009132"
"-0.91","2.714080388644924"
"-0.9","2.6905658417935308"
"-0.89","2.6681414963177272"
"-0.88","2.646658527248898"
"-0.87","2.6259986473437027"
"-0.86","2.6060659992754056"
"-0.85","2.5867816206097216"
"-0.84","2.568079549166696"
"-0.83","2.549904011163249"
"-0.82","2.532207345558998"
"-0.81","2.514948441949053"
"-0.8","2.498091544796509"
"-0.79","2.481605324202295"
"-0.78","2.4654621440291318"
"-0.77","2.4496374784634765"
"-0.76","2.4341094418104503"
"-0.75","2.4188584057763776"
"-0.74","2.4038666851365442"
"-0.73","2.3891182774264563"
"-0.72","2.3745986457279264"
"-0.71","2.3602945361410685"
"-0.7","2.34619382340565"
"-0.69","2.3322853795425296"
"-0.68","2.3185589614548174"
"-0.67","2.3050051142482557"
"-0.66","2.2916150876649866"
"-0.65","2.278380763520252"
"-0.64","2.2652945924214527"
"-0.63","2.2523495383580134"
"-0.62","2.2395390299972684"
"-0.61","2.2268569177198194"
"-0.6","2.214297435588181"
"-0.59","2.201855167572918"
"-0.58","2.1895250174671474"
"-0.57","2.1773021820079834"
"-0.56","2.165182126795959"
"-0.55","2.15316056466364"
"-0.54","2.1412334361948187"
"-0.53","2.1293968921376973"
"-0.52","2.117647277490841"
"-0.51","2.1059811170704963"
"-0.5","2.0943951023931957"
"-0.49","2.0828860797290445"
"-0.48","2.0714510391994847"
"-0.47","2.0600871048090124"
"-0.46","2.048791525313849"
"-0.45","2.037561665842193"
"-0.44","2.02639500019072"
"-0.43","2.0152891037307157"
"-0.42","2.0042416468647826"
"-0.41","1.9932503889816524"
"-0.4","1.9823131728623846"
"-0.39","1.9714279194962685"
"-0.38","1.9605926232691573"
"-0.37","1.9498053474908474"
"-0.36","1.9390642202315367"
"-0.35","1.9283674304404068"
"-0.34","1.9177132243220583"
"-0.33","1.907099901948877"
"-0.32","1.896525814089527"
"-0.31","1.8859893592356212"
"-0.3","1.8754889808102941"
"-0.29","1.865023164543879"
"-0.28","1.8545904360032246"
"-0.27","1.8441893582623698"
"-0.26","1.8338185297033656"
"-0.25","1.8234765819369754"
"-0.24","1.8131621778338598"
"-0.23","1.80287400965761"
"-0.22","1.7926107972916911"
"-0.21","1.7823712865529922"
"-0.2","1.7721542475852274"
"-0.19","1.7619584733259561"
"-0.18","1.7517827780414443"
"-0.17","1.741625995924001"
"-0.16","1.7314869797468073"
"-0.15","1.7213645995715827"
"-0.14","1.7112577415047525"
"-0.13","1.701165306498042"
"-0.12","1.6910862091896848"
"-0.11","1.6810193767826433"
"-0.1","1.6709637479564565"
"-0.09","1.660918271809492"
"-0.08","1.6508819068285556"
"-0.07","1.6408536198829469"
"-0.06","1.6308323852401752"
"-0.05","1.6208171836006666"
"-0.04","1.6108070011488855"
"-0.03","1.6008008286183735"
"-0.02","1.5907976603682872"
"-0.01","1.5807964934690637"
"0.0","1.5707963267948966"
"0.01","1.5607961601207294"
"0.02","1.5507949932215062"
"0.03","1.5407918249714196"
"0.04","1.5307856524409076"
"0.05","1.5207754699891267"
"0.06","1.5107602683496182"
"0.07","1.5007390337068465"
"0.08","1.4907107467612377"
"0.09","1.4806743817803014"
"0.1","1.4706289056333368"
"0.11","1.46057327680715"
"0.12","1.4505064444001086"
"0.13","1.440427347091751"
"0.14","1.4303349120850408"
"0.15","1.4202280540182106"
"0.16","1.410105673842986"
"0.17","1.399966657665792"
"0.18","1.389809875548349"
"0.19","1.379634180263837"
"0.2","1.369438406004566"
"0.21","1.359221367036801"
"0.22","1.3489818562981022"
"0.23","1.3387186439321834"
"0.24","1.3284304757559333"
"0.25","1.318116071652818"
"0.26","1.3077741238864278"
"0.27","1.2974032953274235"
"0.28","1.2870022175865687"
"0.29","1.2765694890459143"
"0.3","1.2661036727794992"
"0.31","1.2556032943541722"
"0.32","1.2450668395002664"
"0.33","1.2344927516409163"
"0.34","1.2238794292677349"
"0.35","1.2132252231493863"
"0.36","1.2025284333582567"
"0.37","1.191787306098946"
"0.38","1.181000030320636"
"0.39","1.1701647340935246"
"0.4","1.1592794807274085"
"0.41","1.148342264608141"
"0.42","1.1373510067250105"
"0.43","1.1263035498590777"
"0.44","1.1151976533990733"
"0.45","1.1040309877476002"
"0.46","1.0928011282759442"
"0.47","1.081505548780781"
"0.48","1.0701416143903084"
"0.49","1.0587065738607488"
"0.5","1.0471975511965979"
"0.51","1.0356115365192968"
"0.52","1.0239453760989525"
"0.53","1.0121957614520958"
"0.54","1.0003592173949747"
"0.55","0.9884320889261531"
"0.56","0.9764105267938343"
"0.57","0.9642904715818097"
"0.58","0.9520676361226456"
"0.59","0.9397374860168752"
"0.6","0.9272952180016123"
"0.61","0.914735735869974"
"0.62","0.9020536235925248"
"0.63","0.8892431152317797"
"0.64","0.8762980611683406"
"0.65","0.863211890069541"
"0.66","0.849977565924807"
"0.67","0.8365875393415376"
"0.68","0.823033692134976"
"0.69","0.8093072740472634"
"0.7","0.7953988301841436"
"0.71","0.7812981174487247"
"0.72","0.7669940078618667"
"0.73","0.7524743761633368"
"0.74","0.7377259684532488"
"0.75","0.7227342478134157"
"0.76","0.7074832117793429"
"0.77","0.6919551751263169"
"0.78","0.6761305095606613"
"0.79","0.6599873293874984"
"0.8","0.6435011087932843"
"0.81","0.6266442116407406"
"0.82","0.609385308030795"
"0.83","0.5916886424265441"
"0.84","0.5735131044230968"
"0.85","0.5548110329800715"
"0.86","0.5355266543143878"
"0.87","0.5155940062460905"
"0.88","0.4949341263408955"
"0.89","0.4734511572720662"
"0.9","0.45102681179626236"
"0.91","0.4275122649448695"
"0.92","0.4027158415806615"
"0.93","0.3763834823177281"
"0.94","0.34816602127296103"
"0.95","0.3175604292915215"
"0.96","0.283794109208328"
"0.97","0.24556551751529213"
"0.98","0.20033484232311968"
"0.99","0.1415394733244273"
"1.0","0.0"
"",""
"Mean","2.9847517654376303"
"Median","2.9996730697925376"
"Mode","1.5707963267948966"
"Variance","0.008767419017025239"
"Stdev","0.09363449693903012"
"x","-0.99"
"n","275"
"F(x)","3.0000433075537316"
"Math F(x)","3.000053180265366"
"eps","1e-05"
